rxnid,Yield
test352,0.2523
test353,0.7652
test354,0.8766
test355,0.7816
test356,0.4682
test357,0.7759
test358,0.6554
test359,0.9534
test360,0.8345
test361,0.4920
test362,0.8092
test363,0.6506
test364,0.8427
test365,0.1463
test366,0.4736
test367,0.7063
test368,0.6287
test369,0.7985
test370,0.1993
test371,0.7643
test372,0.4220
test373,0.8459
test374,0.5429
test375,0.5490
test376,0.4432
test377,0.6564
test378,0.7989
test379,0.2334
test380,0.6472
test381,0.7685
test382,0.1121
test383,0.7413
test384,0.5925
test385,0.4085
test386,0.7354
test387,0.8393
test388,0.5206
test389,0.2460
test390,0.8505
test391,0.6939
test392,0.7274
test393,0.8324
test394,0.7237
test395,0.4584
test396,0.6841
test397,0.6266
test398,0.5792
test399,0.2659
test400,0.3452
test401,0.8596
test402,0.6296
test403,0.8817
test404,0.6307
test405,0.8339
test406,0.7318
test407,0.8746
test408,0.8462
test409,0.5801
test410,0.7927
test411,0.8210
test412,0.7128
test413,0.6827
test414,0.6639
test415,0.1930
test416,0.5641
test417,0.5388
test418,0.6846
test419,0.7642
test420,0.8958
test421,0.7453
test422,0.0948
test423,0.7656
test424,0.8562
test425,0.5857
test426,0.6410
test427,0.7091
test428,0.8335
test429,0.5064
test430,0.2575
test431,0.3737
test432,0.4070
test433,0.5392
test434,0.7005
test435,0.8228
test436,0.5731
test437,0.6558
test438,0.8877
test439,0.4009
test440,0.5613
test441,0.6239
test442,0.8357
test443,0.6850
test444,0.3931
test445,0.4709
test446,0.8440
test447,0.1792
test448,0.6977
test449,0.6691
test450,0.7745
test451,0.8334
test452,0.8059
test453,0.7906
test454,0.8148
test455,0.9255
test456,0.5738
test457,0.5428
test458,0.8096
test459,0.3260
test460,0.7442
test461,0.4898
test462,0.7881
test463,0.9343
test464,0.8852
test465,0.7131
test466,0.2070
test467,0.8138
test468,0.8354
test469,0.4171
test470,0.9023
test471,0.4234
test472,0.8101
test473,0.3138
test474,0.4925
test475,0.6335
test476,0.7663
test477,0.7349
test478,0.2808
test479,0.4685
test480,0.7603
test481,0.2813
test482,0.8208
test483,0.2110
test484,0.6691
test485,0.3378
test486,0.6835
test487,0.8018
test488,0.3297
test489,0.3517
test490,0.7967
test491,0.8013
test492,0.7648
test493,0.6145
test494,0.9142
test495,0.5843
test496,0.4197
test497,0.1592
test498,0.6830
test499,0.4622
test500,0.7805
test501,0.7789
test502,0.4660
test503,0.8695
test504,0.6760
test505,0.8361
test506,0.9027
test507,0.8066
test508,0.4952
test509,0.8613
test510,0.1996
test511,0.6917
test512,0.6422
test513,0.5871
test514,0.6847
test515,0.7947
test516,0.8274
test517,0.5462
test518,0.7284
test519,0.2425
test520,0.5511
test521,0.2973
test522,0.6477
test523,0.8267
test524,0.7074
test525,0.7774
test526,0.1522
test527,0.7911
test528,0.3763
test529,0.7962
test530,0.4443
test531,0.7162
test532,0.8478
test533,0.4097
test534,0.6583
test535,0.0962
test536,0.9118
test537,0.7842
test538,0.6708
test539,0.7038
test540,0.6915
test541,0.7673
test542,0.7133
test543,0.4065
test544,0.8477
test545,0.8759
test546,0.7901
test547,0.7111
test548,0.4674
test549,0.5206
test550,0.2519
test551,0.6814
test552,0.5086
test553,0.3781
test554,0.5096
test555,0.5946
test556,0.4095
test557,0.8011
test558,0.3441
test559,0.9370
test560,0.7460
test561,0.8070
test562,0.8024
test563,0.6013
test564,0.7633
test565,0.7494
test566,0.5292
test567,0.2855
test568,0.7136
test569,0.8155
test570,0.3328
test571,0.5476
test572,0.8079
test573,0.2680
test574,0.2697
test575,0.7006
test576,0.5480
test577,0.3959
test578,0.3057
test579,0.6499
test580,0.7057
test581,0.9163
test582,0.3974
test583,0.9205
test584,0.6118
test585,0.1737
test586,0.4759
test587,0.4299
test588,0.3116
test589,0.6835
test590,0.8383
test591,0.7875
test592,0.4408
test593,0.3450
test594,0.6861
test595,0.8114
test596,0.8366
test597,0.5746
test598,0.5266
test599,0.7142
test600,0.7881
test601,0.6022
test602,0.4178
test603,0.8357
test604,0.3810
test605,0.5951
test606,0.8959
test607,0.4281
test608,0.6081
test609,0.8591
test610,0.5857
test611,0.9163
test612,0.8375
test613,0.6295
test614,0.7057
test615,0.3997
test616,0.5148
test617,0.5133
test618,0.6656
test619,0.2342
test620,0.8192
test621,0.1926
test622,0.5996
test623,0.3865
test624,0.4640
test625,0.5448
test626,0.7431
test627,0.1729
test628,0.4653
test629,0.8885
test630,0.5881
test631,0.4773
test632,0.7365
test633,0.5328
test634,0.8769
test635,0.4414
test636,0.7316
test637,0.4581
test638,0.7473
test639,0.2831
test640,0.8095
test641,0.3614
test642,0.6179
test643,0.2762
test644,0.8865
test645,0.7154
test646,0.8205
test647,0.6111
test648,0.5540
test649,0.5777
test650,0.5941
test651,0.6960
test652,0.7675
test653,0.2730
test654,0.7416
test655,0.6559
test656,0.7593
test657,0.7297
test658,0.8922
test659,0.2011
test660,0.6143
test661,0.4337
test662,0.7531
test663,0.4458
test664,0.6262
test665,0.3392
test666,0.4862
test667,0.8225
test668,0.3515
test669,0.7210
test670,0.8890
test671,0.6970
test672,0.6409
test673,0.4395
test674,0.4410
test675,0.8296
test676,0.7916
test677,0.6963
test678,0.7981
test679,0.5661
test680,0.5669
test681,0.8168
test682,0.6237
test683,0.7494
test684,0.7587
test685,0.4611
test686,0.2880
test687,0.8028
test688,0.2007
test689,0.8469
test690,0.6421
test691,0.8748
test692,0.3756
test693,0.4550
test694,0.4058
test695,0.9044
test696,0.7712
test697,0.6630
test698,0.9572
test699,0.5137
test700,0.3792
test701,0.5442
test702,0.5613
test703,0.7843
test704,0.6805
test705,0.8606
test706,0.5354
test707,0.7213
test708,0.6573
test709,0.3027
test710,0.4897
test711,0.2057
test712,0.2164
test713,0.7046
test714,0.6161
test715,0.8624
test716,0.8307
test717,0.3648
test718,0.7873
test719,0.4197
test720,0.8543
test721,0.4966
test722,0.7750
test723,0.4477
test724,0.7345
test725,0.4138
test726,0.7313
test727,0.7123
test728,0.5085
test729,0.9677
test730,0.4933
test731,0.4502
test732,0.6861
test733,0.8943
test734,0.8227
test735,0.6087
test736,0.9100
test737,0.4110
test738,0.4895
test739,0.7129
test740,0.4022
test741,0.9578
test742,0.7599
test743,0.7551
test744,0.8429
test745,0.8191
test746,0.7749
test747,0.7887
test748,0.4691
test749,0.5625
test750,0.8375
test751,0.5641
test752,0.8221
test753,0.7051
test754,0.7135
test755,0.7870
test756,0.3623
test757,0.4820
test758,0.7259
test759,0.6368
test760,0.8403
test761,0.6026
test762,0.6587
test763,0.6269
test764,0.4980
test765,0.8375
test766,0.7023
test767,0.3384
test768,0.8892
test769,0.8352
test770,0.7557
test771,0.8339
test772,0.8113
test773,0.7876
test774,0.5896
test775,0.5469
test776,0.2769
test777,0.6898
test778,0.8008
test779,0.8547
test780,0.8008
test781,0.3773
test782,0.7379
test783,0.1524
test784,0.7812
test785,0.5675
test786,0.8252
test787,0.5127
test788,0.8080
test789,0.6261
test790,0.8951
test791,0.5021
test792,0.8537
test793,0.7152
test794,0.4739
test795,0.7046
test796,0.6814
test797,0.8101
test798,0.4944
test799,0.7704
test800,0.8787
test801,0.6822
test802,0.3417
test803,0.4768
test804,0.7894
test805,0.3731
test806,0.4827
test807,0.8524
test808,0.6165
test809,0.6576
test810,0.6916
test811,0.7026
test812,0.4748
test813,0.6326
test814,0.6785
test815,0.6931
test816,0.4394
test817,0.4293
test818,0.5232
test819,0.9433
test820,0.5477
test821,0.3997
test822,0.7684
test823,0.6710
test824,0.8361
test825,0.7547
test826,0.6388
test827,0.6219
test828,0.8987
test829,0.8397
test830,0.5620
test831,0.4913
test832,0.7739
test833,0.5948
test834,0.8445
test835,0.2290
test836,0.8447
test837,0.8333
test838,0.8920
test839,0.4967
test840,0.5836
test841,0.2647
test842,0.3225
test843,0.4058
test844,0.8313
test845,0.6548
test846,0.6458
test847,0.7892
test848,0.3645
test849,0.7987
test850,0.9317
test851,0.6917
test852,0.2193
test853,0.5078
test854,0.9447
test855,0.8703
test856,0.8926
test857,0.7795
test858,0.7729
test859,0.5343
test860,0.7685
test861,0.7424
test862,0.5848
test863,0.7061
test864,0.7318
test865,0.8004
test866,0.7625
test867,0.4797
test868,0.7669
test869,0.5618
test870,0.8602
test871,0.7779
test872,0.5113
test873,0.5037
test874,0.4185
test875,0.8582
test876,0.8380
test877,0.5159
test878,0.6070
test879,0.4955
test880,0.4795
test881,0.9016
test882,0.6874
test883,0.4754
test884,0.6627
test885,0.1546
test886,0.9197
test887,0.4931
test888,0.8098
test889,0.6185
test890,0.8946
test891,0.3349
test892,0.5426
test893,0.8070
test894,0.6565
test895,0.7441
test896,0.8032
test897,0.9127
test898,0.6507
test899,0.8024
test900,0.7499
test901,0.5948
test902,0.8041
test903,0.4929
test904,0.4259
test905,0.9373
test906,0.1354
test907,0.2741
test908,0.8643
test909,0.8224
test910,0.5616
test911,0.3577
test912,0.0915
test913,0.9209
test914,0.6708
test915,0.2383
test916,0.5505
test917,0.4759
test918,0.8650
test919,0.8407
test920,0.6171
test921,0.6408
test922,0.8025
test923,0.7837
test924,0.5327
test925,0.8615
test926,0.1311
test927,0.5334
test928,0.8684
test929,0.7988
test930,0.7100
test931,0.8926
test932,0.4169
test933,0.5665
test934,0.9273
test935,0.9297
test936,0.5248
test937,0.6207
test938,0.7702
test939,0.6733
test940,0.4644
test941,0.5829
test942,0.7809
test943,0.7893
test944,0.8698
test945,0.6782
test946,0.4926
test947,0.4557
test948,0.7694
test949,0.8437
test950,0.4876
test951,0.6555
test952,0.1502
test953,0.6677
test954,0.6942
test955,0.8657
test956,0.4163
test957,0.7335
test958,0.7380
test959,0.9191
test960,0.6803
test961,0.4926
test962,0.5085
test963,0.2962
test964,0.9442
test965,0.7217
test966,0.6203
test967,0.3750
test968,0.8703
test969,0.8731
test970,0.6672
test971,0.3787
test972,0.5931
test973,0.6749
test974,0.6314
test975,0.6994
test976,0.8084
test977,0.7519
test978,0.4244
test979,0.7455
test980,0.1712
test981,0.1672
test982,0.7915
test983,0.8496
test984,0.5934
test985,0.6982
test986,0.5140
test987,0.5449
test988,0.3826
test989,0.4880
test990,0.6051
test991,0.8066
test992,0.7831
test993,0.7203
test994,0.8936
test995,0.3344
test996,0.5481
test997,0.6441
test998,0.7490
test999,0.7529
test1000,0.6004
test1001,0.4928
test1002,0.4306
test1003,0.8715
test1004,0.8271
test1005,0.8898
test1006,0.3563
test1007,0.9075
test1008,0.7264
test1009,0.3262
test1010,0.2225
test1011,0.7954
test1012,0.2359
test1013,0.7030
test1014,0.4854
test1015,0.3954
test1016,0.8427
test1017,0.6938
test1018,0.4161
test1019,0.8376
test1020,0.6216
test1021,0.8429
test1022,0.7563
test1023,0.8297
test1024,0.6710
test1025,0.4111
test1026,0.6144
test1027,0.9415
test1028,0.8374
test1029,0.9665
test1030,0.8835
test1031,0.7750
test1032,0.8584
test1033,0.5527
test1034,0.4169
test1035,0.2556
test1036,0.7409
test1037,0.4153
test1038,0.7171
test1039,0.6262
test1040,0.9304
test1041,0.7624
test1042,0.7491
test1043,0.9431
test1044,0.5289
test1045,0.7202
test1046,0.5251
test1047,0.8462
test1048,0.8473
test1049,0.5990
test1050,0.9047
test1051,0.5888
test1052,0.7178
test1053,0.3320
test1054,0.5847
test1055,0.5894
test1056,0.7945
test1057,0.8295
test1058,0.4025
test1059,0.2458
test1060,0.6278
test1061,0.8130
test1062,0.2637
test1063,0.7523
test1064,0.7121
test1065,0.8025
test1066,0.3684
test1067,0.6172
test1068,0.5264
test1069,0.8239
test1070,0.6969
test1071,0.4469
test1072,0.3347
test1073,0.3799
test1074,0.8418
test1075,0.9506
test1076,0.5721
test1077,0.3836
test1078,0.7952
test1079,0.4747
test1080,0.5488
test1081,0.6805
test1082,0.9297
test1083,0.6475
test1084,0.4247
test1085,0.5826
test1086,0.4650
test1087,0.8341
test1088,0.7071
test1089,0.8648
test1090,0.7885
test1091,0.6651
test1092,0.5699
test1093,0.3788
test1094,0.4325
test1095,0.6748
test1096,0.5344
test1097,0.6231
test1098,0.3984
test1099,0.7402
test1100,0.6526
test1101,0.6400
test1102,0.7087
test1103,0.6111
test1104,0.8439
test1105,0.5479
test1106,0.1701
test1107,0.6621
test1108,0.8096
test1109,0.7741
test1110,0.8874
test1111,0.4918
test1112,0.7106
test1113,0.2667
test1114,0.5256
test1115,0.7928
test1116,0.7243
test1117,0.8273
test1118,0.5588
test1119,0.8006
test1120,0.7568
test1121,0.5220
test1122,0.1455
test1123,0.5934
test1124,0.7747
test1125,0.7036
test1126,0.6646
test1127,0.3452
test1128,0.4578
test1129,0.7578
test1130,0.2053
test1131,0.7498
test1132,0.6416
test1133,0.8252
test1134,0.4205
test1135,0.5001
test1136,0.9206
test1137,0.9120
test1138,0.8146
test1139,0.2745
test1140,0.2462
test1141,0.7547
test1142,0.4524
test1143,0.6958
test1144,0.5646
test1145,0.6090
test1146,0.5882
test1147,0.5923
test1148,0.8127
test1149,0.5633
test1150,0.8369
test1151,0.8921
test1152,0.8189
test1153,0.6052
test1154,0.9318
test1155,0.5095
test1156,0.8446
test1157,0.6253
test1158,0.7441
test1159,0.7938
test1160,0.7502
test1161,0.4706
test1162,0.6119
test1163,0.4266
test1164,0.6485
test1165,0.7777
test1166,0.8716
test1167,0.3616
test1168,0.4646
test1169,0.4808
test1170,0.4373
test1171,0.4948
test1172,0.1339
test1173,0.3622
test1174,0.6508
test1175,0.4473
test1176,0.6140
test1177,0.8204
test1178,0.7973
test1179,0.8651
test1180,0.7196
test1181,0.4909
test1182,0.3895
test1183,0.5348
test1184,0.9688
test1185,0.3928
test1186,0.7903
test1187,0.3664
test1188,0.7940
test1189,0.7639
test1190,0.8848
test1191,0.5856
test1192,0.8859
test1193,0.4472
test1194,0.5370
test1195,0.7899
test1196,0.5982
test1197,0.8623
test1198,0.2700
test1199,0.3336
test1200,0.3376
test1201,0.9248
test1202,0.2947
test1203,0.7084
test1204,0.5414
test1205,0.9143
test1206,0.8013
test1207,0.3938
test1208,0.8618
test1209,0.3995
test1210,0.6111
test1211,0.6718
test1212,0.5625
test1213,0.2509
test1214,0.8097
test1215,0.2086
test1216,0.3630
test1217,0.8432
test1218,0.4030
test1219,0.7700
test1220,0.4154
test1221,0.8717
test1222,0.6497
test1223,0.4297
test1224,0.3914
test1225,0.5749
test1226,0.8000
test1227,0.4743
test1228,0.9404
test1229,0.6413
test1230,0.5855
test1231,0.9752
test1232,0.7662
test1233,0.7688
test1234,0.7612
test1235,0.4983
test1236,0.5848
test1237,0.7765
test1238,0.6265
test1239,0.3661
test1240,0.8417
test1241,0.8014
test1242,0.3142
test1243,0.7519
test1244,0.3865
test1245,0.8364
test1246,0.4982
test1247,0.8810
test1248,0.8370
test1249,0.5854
test1250,0.0966
test1251,0.8636
test1252,0.3186
test1253,0.8637
test1254,0.7578
test1255,0.7876
test1256,0.9470
test1257,0.3988
test1258,0.9111
test1259,0.6601
test1260,0.8456
test1261,0.6796
test1262,0.5076
test1263,0.5263
test1264,0.5090
test1265,0.6783
test1266,0.8407
test1267,0.9309
test1268,0.7763
test1269,0.6373
test1270,0.9306
test1271,0.8664
test1272,0.4694
test1273,0.7554
test1274,0.6124
test1275,0.7574
test1276,0.2391
test1277,0.8697
test1278,0.5093
test1279,0.8035
test1280,0.4911
test1281,0.6576
test1282,0.7049
test1283,0.7106
test1284,0.7864
test1285,0.8038
test1286,0.6950
test1287,0.7839
test1288,0.8155
test1289,0.8190
test1290,0.6277
test1291,0.8226
test1292,0.2433
test1293,0.8496
test1294,0.8991
test1295,0.4459
test1296,0.7451
test1297,0.9132
test1298,0.5171
test1299,0.8418
test1300,0.6913
test1301,0.5566
test1302,0.5535
test1303,0.5095
test1304,0.7985
test1305,0.3837
test1306,0.8179
test1307,0.8101
test1308,0.7948
test1309,0.5665
test1310,0.4412
test1311,0.6768
test1312,0.6002
test1313,0.8529
test1314,0.7719
test1315,0.4240
test1316,0.7843
test1317,0.5247
test1318,0.7524
test1319,0.6266
test1320,0.5484
test1321,0.3025
test1322,0.8176
test1323,0.6010
test1324,0.5964
test1325,0.7504
test1326,0.7332
test1327,0.5756
test1328,0.4932
test1329,0.8411
test1330,0.9462
test1331,0.5404
test1332,0.6591
test1333,0.9364
test1334,0.9301
test1335,0.3699
test1336,0.3242
test1337,0.6780
test1338,0.5816
test1339,0.7272
test1340,0.1100
test1341,0.5306
test1342,0.7814
test1343,0.6024
test1344,0.9425
test1345,0.9364
test1346,0.4292
test1347,0.5031
test1348,0.7618
test1349,0.6719
test1350,0.7385
test1351,0.3009
test1352,0.9110
test1353,0.6927
test1354,0.9430
test1355,0.8885
test1356,0.7423
test1357,0.3096
test1358,0.8389
test1359,0.2274
test1360,0.5299
test1361,0.6889
test1362,0.3165
test1363,0.7617
test1364,0.6742
test1365,0.1976
test1366,0.5221
test1367,0.3241
test1368,0.7835
test1369,0.4688
test1370,0.7526
test1371,0.8803
test1372,0.7430
test1373,0.4523
test1374,0.4644
test1375,0.6114
test1376,0.5090
test1377,0.6069
test1378,0.7605
test1379,0.6113
test1380,0.9127
test1381,0.8002
test1382,0.6041
test1383,0.6223
test1384,0.9386
test1385,0.8485
test1386,0.7063
test1387,0.3451
test1388,0.5381
test1389,0.6516
test1390,0.3868
test1391,0.6151
test1392,0.4019
test1393,0.1244
test1394,0.9557
test1395,0.7817
test1396,0.6402
test1397,0.5527
test1398,0.5592
test1399,0.6948
test1400,0.5700
test1401,0.4301
test1402,0.8831
test1403,0.7630
test1404,0.9294
test1405,0.6932
test1406,0.7484
test1407,0.6539
test1408,0.8575
test1409,0.6729
test1410,0.7113
test1411,0.6633
test1412,0.8137
test1413,0.8182
test1414,0.5836
test1415,0.5149
test1416,0.8445
test1417,0.8403
test1418,0.2499
test1419,0.4283
test1420,0.4791
test1421,0.1683
test1422,0.8012
test1423,0.9345
test1424,0.8930
test1425,0.9370
test1426,0.6428
test1427,0.8741
test1428,0.7882
test1429,0.7878
test1430,0.2604
test1431,0.7803
test1432,0.7828
test1433,0.5595
test1434,0.5954
test1435,0.5609
test1436,0.6090
test1437,0.4897
test1438,0.5865
test1439,0.1379
test1440,0.7561
test1441,0.3446
test1442,0.3205
test1443,0.2250
test1444,0.6891
test1445,0.7421
test1446,0.4200
test1447,0.6666
test1448,0.6233
test1449,0.3945
test1450,0.7633
test1451,0.8345
test1452,0.5911
test1453,0.2182
test1454,0.4374
test1455,0.3287
test1456,0.7150
test1457,0.9474
test1458,0.2941
test1459,0.6807
test1460,0.6114
test1461,0.8242
test1462,0.3373
test1463,0.9315
test1464,0.8852
test1465,0.4514
test1466,0.8067
test1467,0.6851
test1468,0.6101
test1469,0.2840
test1470,0.6185
test1471,0.9583
test1472,0.8140
test1473,0.8490
test1474,0.6015
test1475,0.5400
test1476,0.4099
test1477,0.6829
test1478,0.6934
test1479,0.8020
test1480,0.7370
test1481,0.8489
test1482,0.8036
test1483,0.3238
test1484,0.8809
test1485,0.6803
test1486,0.6120
test1487,0.6538
test1488,0.4547
test1489,0.9428
test1490,0.5446
test1491,0.9305
test1492,0.7557
test1493,0.8803
test1494,0.8743
test1495,0.6915
test1496,0.2284
test1497,0.5311
test1498,0.6256
test1499,0.8146
test1500,0.7235
test1501,0.7428
test1502,0.6097
test1503,0.7498
test1504,0.7888
test1505,0.2439
test1506,0.7622
test1507,0.7954
test1508,0.8002
test1509,0.4345
test1510,0.5330
test1511,0.9457
test1512,0.3357
test1513,0.5462
test1514,0.5282
test1515,0.7524
test1516,0.7584
test1517,0.5897
test1518,0.5327
test1519,0.7257
test1520,0.9265
test1521,0.8058
test1522,0.5815
test1523,0.5072
test1524,0.1588
test1525,0.8050
test1526,0.7196
test1527,0.8769
test1528,0.5962
test1529,0.6377
test1530,0.8992
test1531,0.5023
test1532,0.5172
test1533,0.4563
test1534,0.4936
test1535,0.1103
test1536,0.2035
test1537,0.7655
test1538,0.1461
test1539,0.6849
test1540,0.8624
test1541,0.8688
test1542,0.8349
test1543,0.1093
test1544,0.5443
test1545,0.4266
test1546,0.4800
test1547,0.7460
test1548,0.6696
test1549,0.5410
test1550,0.9242
test1551,0.7471
test1552,0.6757
test1553,0.8199
test1554,0.7149
test1555,0.9026
test1556,0.8113
test1557,0.7988
test1558,0.6961
test1559,0.8179
test1560,0.3326
test1561,0.4506
test1562,0.3931
test1563,0.4133
test1564,0.8312
test1565,0.6158
test1566,0.7327
test1567,0.4879
test1568,0.4619
test1569,0.6855
test1570,0.9025
test1571,0.3077
test1572,0.5155
test1573,0.6816
test1574,0.8284
test1575,0.7707
test1576,0.3764
test1577,0.9346
test1578,0.9094
test1579,0.8128
test1580,0.3766
test1581,0.8466
test1582,0.6559
test1583,0.6890
test1584,0.8347
test1585,0.5299
test1586,0.8204
test1587,0.4759
test1588,0.5805
test1589,0.6672
test1590,0.7667
test1591,0.5879
test1592,0.5502
test1593,0.7523
test1594,0.0735
test1595,0.5289
test1596,0.4781
test1597,0.9723
test1598,0.6751
test1599,0.7760
test1600,0.5336
test1601,0.4602
test1602,0.4873
test1603,0.4719
test1604,0.6792
test1605,0.6690
test1606,0.7587
test1607,0.1846
test1608,0.2053
test1609,0.2928
test1610,0.4562
test1611,0.3138
test1612,0.7675
test1613,0.8757
test1614,0.6451
test1615,0.2974
test1616,0.5365
test1617,0.6509
test1618,0.1638
test1619,0.4262
test1620,0.7394
test1621,0.6120
test1622,0.7750
test1623,0.8969
test1624,0.7039
test1625,0.7955
test1626,0.5996
test1627,0.3989
test1628,0.9087
test1629,0.6648
test1630,0.6301
test1631,0.8275
test1632,0.6515
test1633,0.6412
test1634,0.7952
test1635,0.1313
test1636,0.6899
test1637,0.5107
test1638,0.9066
test1639,0.9002
test1640,0.8571
test1641,0.9449
test1642,0.5566
test1643,0.7515
test1644,0.1359
test1645,0.1271
test1646,0.9072
test1647,0.9755
test1648,0.5194
test1649,0.7014
test1650,0.8793
test1651,0.6841
test1652,0.1057
test1653,0.9154
test1654,0.3866
test1655,0.3983
test1656,0.5516
test1657,0.2536
test1658,0.9048
test1659,0.3471
test1660,0.6038
test1661,0.5254
test1662,0.6999
test1663,0.3370
test1664,0.5082
