rxnid,Reactant1,Reactant2,Product,Additive,Solvent,Yield
train22,c1ccc(Nc2ccccc2)cc1,Brc1ccccc1I,Brc1ccccc1N(c1ccccc1)c1ccccc1,CC(C)(C)[O-].O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,0.76
train23,c1ccc(Nc2ccccc2)cc1,Brc1ccc(I)cc1,Brc1ccc(N(c2ccccc2)c2ccccc2)cc1,CC(=O)[O-].CC(=O)[O-].CC(C)(C)[O-].[Na+].[Pd+2],Cc1ccccc1,0.79
train24,CNc1ccccc1,Cc1ccc(Cn2cnc3c(Cl)nc(C(F)(F)F)nc32)cc1,Cc1ccc(Cn2cnc3c(N(C)c4ccccc4)nc(C(F)(F)F)nc32)cc1,CCN(CC)CC,CCO,0.33
train25,Clc1cccc(N2CCNCC2)c1,Oc1ccccc1-c1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2Cl)o1,Oc1ccccc1-c1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2N2CCN(c3cccc(Cl)c3)CC2)o1,c1ccncc1,CCO,0.4
train26,Clc1cccc(N2CCNCC2)c1,FC(F)(F)c1ccc2c(Cl)c(-c3nnc(-c4cc5ccccc5[nH]4)o3)cnc2c1,FC(F)(F)c1ccc2c(N3CCN(c4cccc(Cl)c4)CC3)c(-c3nnc(-c4cc5ccccc5[nH]4)o3)cnc2c1,c1ccncc1,CCO,0.55
train27,Clc1cccc(N2CCNCC2)c1,O=C(NCc1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2Cl)o1)c1ccccc1,O=C(NCc1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2N2CCN(c3cccc(Cl)c3)CC2)o1)c1ccccc1,c1ccncc1,CCO,0.55
train28,Clc1cccc(N2CCNCC2)c1,Cc1ccc2[nH]c(-c3nnc(-c4cnc5cc(C(F)(F)F)ccc5c4Cl)o3)cc2c1,Cc1ccc2[nH]c(-c3nnc(-c4cnc5cc(C(F)(F)F)ccc5c4N4CCN(c5cccc(Cl)c5)CC4)o3)cc2c1,c1ccncc1,CCO,0.7
train29,Clc1cccc(N2CCNCC2)c1,NC(Cc1c[nH]c2ccccc12)c1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2Cl)o1,NC(Cc1c[nH]c2ccccc12)c1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2N2CCN(c3cccc(Cl)c3)CC2)o1,c1ccncc1,CCO,0.5
train30,Clc1cccc(N2CCNCC2)c1,O=C(Nc1ccc(-c2nnc(-c3cnc4cc(C(F)(F)F)ccc4c3Cl)o2)cc1)c1ccccc1,O=C(Nc1ccc(-c2nnc(-c3cnc4cc(C(F)(F)F)ccc4c3N3CCN(c4cccc(Cl)c4)CC3)o2)cc1)c1ccccc1,c1ccncc1,CCO,0.5
train31,Clc1cccc(N2CCNCC2)c1,O=C(CNC(=O)c1ccccc1)NCc1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2Cl)o1,O=C(CNC(=O)c1ccccc1)NCc1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2N2CCN(c3cccc(Cl)c3)CC2)o1,c1ccncc1,CCO,0.4
train32,Clc1cccc(N2CCNCC2)c1,O=C(NC(Cc1c[nH]c2ccccc12)c1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2Cl)o1)c1ccccc1,O=C(NC(Cc1c[nH]c2ccccc12)c1nnc(-c2cnc3cc(C(F)(F)F)ccc3c2N2CCN(c3cccc(Cl)c3)CC2)o1)c1ccccc1,c1ccncc1,CCO,0.45
train33,OCCNCCO,FC(F)(F)c1cc(C(F)(F)F)c2ccc(Cl)nc2n1,OCCN(CCO)c1ccc2c(C(F)(F)F)cc(C(F)(F)F)nc2n1,CCN(CC)CC,Cc1ccccc1,0.47
train34,CN1CCNCC1,O=[N+]([O-])c1ccc(F)cc1Br,CN1CCN(c2ccc([N+](=O)[O-])c(Br)c2)CC1,O=C([O-])[O-].[K+].[K+],CN(C)C=O,0.85
train35,CN1CCNCC1,O=[N+]([O-])c1ccc(F)cc1Br,CN1CCN(c2ccc([N+](=O)[O-])c(Br)c2)CC1,O=C([O-])O.[Na+],CS(C)=O,0.95
train36,c1ccc2[nH]ccc2c1,FC(F)(F)c1cccc(Br)c1,FC(F)(F)c1cccc(-n2ccc3ccccc32)c1,O=C([O-])[O-].[Cs+].[Cs+].[Cu+2].[I-].[I-],CN(C)C=O,0.61
train37,c1ccc2[nH]ccc2c1,Clc1ccc(I)cc1,Clc1ccc(-n2ccc3ccccc32)cc1,C[O-].O=C1c2ccccc2C(=O)N1O.[Cu+2].[I-].[I-].[Na+],CS(C)=O,0.99
train38,c1ccc2[nH]ccc2c1,Clc1ccc(I)cc1,Clc1ccc(-n2ccc3ccccc32)cc1,CCN(CC)CC,CN(C)C=O,0.98
train39,C1CC2(CCN1)OCCO2,FC(F)(F)c1cccc(Br)c1,FC(F)(F)c1cccc(N2CCC3(CC2)OCCO3)c1,CC(C)(C)[O-].Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Cl[Pd]Cl.[Na+],Cc1ccccc1,0.67
train40,c1ccc2[nH]ccc2c1,Fc1ccc(Br)cc1,Brc1ccc(-n2ccc3ccccc32)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CN(C)C=O,0.87
train41,C1COCCOCCOCCN1,FC(F)(F)c1ccc(Cl)nc1,FC(F)(F)c1ccc(N2CCOCCOCCOCC2)nc1,CCN(CC)CC,C1CCOC1,0.58
train42,c1nc(C2CCNCC2)c[nH]1,FC(F)(F)c1ccc(Cl)nc1,FC(F)(F)c1ccc(N2CCC(c3c[nH]cn3)CC2)nc1,O=C([O-])O.[K+],CC(C)O,0.57
train43,O=C1NC(=O)c2ccccc21,O=c1oc2c(Br)cccc2cc1-c1csc(Cl)n1,O=C1c2ccccc2C(=O)N1c1nc(-c2cc3cccc(Br)c3oc2=O)cs1,O=C([O-])[O-].[K+].[K+],CN(C)C=O,0.79
train44,O=C1NC(=O)c2ccccc21,O=c1oc2c(Br)cc(Br)cc2cc1-c1csc(Cl)n1,O=C1c2ccccc2C(=O)N1c1nc(-c2cc3cc(Br)cc(Br)c3oc2=O)cs1,O=C([O-])[O-].[K+].[K+],CN(C)C=O,0.8
train45,C1CNCCNCCCNCCNC1,FC(F)(F)c1ccc(Cl)nc1,FC(F)(F)c1ccc(N2CCCN(c3ccc(C(F)(F)F)cn3)CCN(c3ccc(C(F)(F)F)cn3)CCCN(c3ccc(C(F)(F)F)cn3)CC2)nc1,CCN(CC)CC,C1CCOC1,0.62
train46,C1CNCCNCCCNCCNC1,FC(F)(F)c1cccnc1Cl,FC(F)(F)c1cccnc1N1CCCN(c2ncccc2C(F)(F)F)CCN(c2ncccc2C(F)(F)F)CCCN(c2ncccc2C(F)(F)F)CC1,CCN(CC)CC,C1CCOC1,0.64
train47,CC1CNCCN1,FC(F)(F)c1ccc(Br)cc1,CC1CN(c2ccc(C(F)(F)F)cc2)CCN1,CC(C)(C)[O-].Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Cl[Pd]Cl.[Na+],Cc1ccccc1,0.49
train48,C1CCNCC1,Fc1ccc(Cn2c(Cl)nc3ccccc32)cc1,Fc1ccc(Cn2c(N3CCCCC3)nc3ccccc32)cc1,CC(=O)[O-].CC(=O)[O-].CC(C)(C)[O-].[Na+].[Pd+2].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,Cc1ccccc1,0.71
train49,COC(=O)c1cccc2[nH]ccc12,Fc1ccc(Br)cc1,COC(=O)c1cccc2c1ccn2-c1ccc(F)cc1,O=C([O-])[O-].[Cu+2].[K+].[K+].[O-2],CN(C)C=O,0.95
train50,COC(=O)c1cccc2[nH]ccc12,Fc1ccc(Br)cc1,COC(=O)c1cccc2c1ccn2-c1ccc(F)cc1,CNCCNC.O=C(O)[C@@H]1CCCN1.O=P([O-])([O-])[O-].[K+].[K+].[K+],C1COCCO1.CS(C)=O,0.68
train51,c1ccc2[nH]nnc2c1,Brc1ccc(I)cc1,Brc1ccc(-n2nnc3ccccc32)cc1,O=C([O-])[O-].[Cs+].[Cs+].[Cu+2].[I-].[I-],CN(C)C=O,0.47
train52,c1ccc2[nH]nnc2c1,Brc1ccc(I)cc1,Brc1ccc(-n2nnc3ccccc32)cc1,O=C([O-])[O-].[Cs+].[Cs+].[Cu+2].[I-].[I-],CS(C)=O,0.77
train53,C1CCNCC1,Fc1ccc(Br)cc1,Fc1ccc(N2CCCCC2)cc1,CC(C)(C)[O-].[Na+],Cc1ccccc1,0.57
train54,C1CCNCC1,Fc1ccc(Br)cc1,Fc1ccc(N2CCCCC2)cc1,O=C([O-])[O-].O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O.[Cs+].[Cs+].[Cu],O,0.97
train55,C1CCNCC1,Fc1ccc(Br)cc1,Fc1ccc(N2CCCCC2)cc1,CN([SiH](C)C)[Si](C)(C)C.[Li],C1CCOC1,0.54
train56,C1CCNCC1,FC(F)(F)c1ccc(Cl)nc1,FC(F)(F)c1ccc(N2CCCCC2)nc1,O=C([O-])[O-].[Cl-].[Cl-].[Co+2].[K+].[K+].c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.75
train57,C1CCNCC1,FC(F)(F)c1cccnc1Cl,FC(F)(F)c1cccnc1N1CCCCC1,O=C([O-])[O-].[K+].[K+],CC#N,0.79
train58,C1CCNCC1,FC(F)(F)c1ccnc(Cl)c1,FC(F)(F)c1ccnc(N2CCCCC2)c1,CC(C)(C)[O-].CC(C)c1cc(C(C)C)c(-c2ccccc2P2CC[Si](C)(C)CC2)c(C(C)C)c1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[K+].[Pd].[Pd],Cc1ccccc1,0.99
train59,C1COCCN1,FC(F)(F)c1ccc(Br)cc1,FC(F)(F)c1ccc(N2CCOCC2)cc1,CC(C)(C)[O-].O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(P)C(=O)[Cr](c1ccccc1)(c1ccccc1)c1ccccc1.[Na+].[Pd].[Pd],Cc1ccccc1,0.95
train60,C1COCCN1,FC(F)(F)c1ccc(Br)cc1,FC(F)(F)c1ccc(N2CCOCC2)cc1,C1=CCCC=CCC1.C1=CCCC=CCC1.CC(C)(C)[O-].CC(C)n1cc[n+](C(C)C)c1.F[B-](F)(F)F.[Cl-].[Na+].[Rh+],COCCOC,0.98
train61,C1COCCN1,FC(F)(F)c1cccnc1Cl,FC(F)(F)c1cccnc1N1CCOCC1,O=C([O-])[O-].[K+].[K+],CC#N,0.64
train62,CN1CCNCC1,FC(F)(F)c1cccnc1Cl,CN1CCN(c2ncccc2C(F)(F)F)CC1,O=C([O-])[O-].[K+].[K+],CC#N,0.86
train63,CNc1ccccc1,FC(F)(F)c1ccc(Br)cc1,CN(c1ccccc1)c1ccc(C(F)(F)F)cc1,CC(C)(C)[O-].O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(P)C(=O)[Cr](c1ccccc1)(c1ccccc1)c1ccccc1.[Na+].[Pd].[Pd],Cc1ccccc1,0.97
train64,CNc1ccccc1,FC(F)(F)c1ccc(Br)cc1,CN(c1ccccc1)c1ccc(C(F)(F)F)cc1,CC(C)(C)C[PH+](C(C)(C)C)C(C)(C)C.CC(C)(C)[O-].F[B-](F)(F)F.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Na+].[Pd].[Pd],Cc1ccccc1,0.93
train65,C1CCNC1,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,Cc1nc(N2CCCC2)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCN(CC)CC,CCO,0.96
train66,C1CCNCC1,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,Cc1nc(N2CCCCC2)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCN(CC)CC,CCO,0.8
train67,CCCCNCC,CC(C)c1ccc(-n2nnc3c(Cl)ncnc32)c(Br)c1,CCCCN(CC)c1ncnc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.55
train68,CCCCNCC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCCCN(CC)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.97
train69,CCNCCOC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCN(CCOC)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.64
train70,COCCNCCO,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,COCCN(CCO)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.42
train71,C=CCNCCOC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,C=CCN(CCOC)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.8
train72,COCCNCc1ccccc1,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,COCCN(Cc1ccccc1)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.69
train73,CCCCNCCCC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCCCN(CCCC)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.64
train74,CCNCC,Fc1ccc(Cn2c(Cl)nc3ccccc32)cc1,CCN(CC)c1nc2ccccc2n1Cc1ccc(F)cc1,CCN(CC)CC,CC#N,0.8
train75,CCNCC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCN(CC)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.89
train76,OCCNCCO,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,Cc1nc(N(CCO)CCO)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCN(CC)CC,CCO,0.83
train77,CNC(COC)COC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,COCC(COC)N(C)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.81
train78,CCNC(COC)COC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCN(c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br)C(COC)COC,CCN(CC)CC,CCO,0.96
train79,COCCN(C)C1CC1,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,COCCN(CC1CC1)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.67
train80,COCCNCc1cccnc1,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,COCCN(Cc1cccnc1)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.27
train81,COCCCNCCOC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,COCCCN(CCOC)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.76
train82,CCC(COC)NC,Cc1nc(Cl)c2nnn(-c3ccc(C(C)C)cc3Br)c2n1,CCC(COC)N(C)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,CCN(CC)CC,CCO,0.59
train83,CN1CCNCC1,CN(C)c1cccc2c(Cl)nc(-c3ccc(Br)cc3)cc12,CN1CCN(c2nc(-c3ccc(Br)cc3)cc3c(N(C)C)cccc23)CC1,O=C([O-])[O-].[K+].[K+],CN(C)C=O,0.66
train84,O=C1CCCN1,FC(F)(F)c1ccc(Br)cc1,O=C1CCCN1c1ccc(C(F)(F)F)cc1,C1CCC2=NCCCN2CC1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.COC(C)OC.[Br-].[Br-].[Br-].[Li+].[Ni+2],CC(=O)N(C)C.COCCOC,0.55
train85,O=C1CCCN1,FC(F)(F)c1ccc(Br)cc1,O=C1CCCN1c1ccc(C(F)(F)F)cc1,CC(=O)[O-].CC(=O)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd+2],C1COCCO1,0.84
train86,O=C1CCCN1,FC(F)(F)c1ccc(Br)cc1,O=C1CCCN1c1ccc(C(F)(F)F)cc1,CN(C)CC(=O)O.O=C([O-])[O-].[Cu+2].[I-].[I-].[K+].[K+],CN(C)C=O,0.83
train87,c1ccc(N2CCNCC2)cc1,[O-][n+]1c(Cl)cccc1CF,[O-][n+]1c(CF)cccc1N1CCN(c2ccccc2)CC1,CCN(CC)CC,CN(C)C=O,0.4
train88,C1=CNCCC1,CC(C)n1cnc2c(Cl)nc(I)nc21,CC(C)n1cnc2c(N3C=CCCC3)nc(I)nc21,CCN(CC)CC,CCO,0.98
train89,CC(C)(C)OC(=O)NC1CCNC1,Fc1ccc(Cn2c(Cl)nc3ccccc32)cc1,CC(C)(C)OC(=O)NC1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)C1,Cc1ccnc(C)c1.[F-].[K+],O,0.77
train90,CCCNCCC,CCN(c1nc(C)nc(Cl)n1)c1ccc(C(C)C)cc1Br,CCCN(CCC)c1nc(C)nc(N(CC)c2ccc(C(C)C)cc2Br)n1,CCN(C(C)C)C(C)C,CS(C)=O,0.94
train91,CN1CCNCC1,O=[N+]([O-])c1ccc(F)c(Cl)c1,CN1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1,O=C([O-])[O-].[K+].[K+],CN(C)C=O,0.69
train92,c1ccc(Nc2ccccc2)cc1,FC(F)(F)C(c1nc(Cl)nc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)n1)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(c1nc(N(c2ccccc2)c2ccccc2)nc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)n1)(C(F)(F)F)C(F)(F)F,[H-].[Li+],C1CCOC1,0.67
train93,COCCOC(=O)N(C)[C@@H]1CCCNC1,Cc1ccc2c(Cl)nc(-c3c(O)cccc3F)nc2c1,COCCOC(=O)N(C)[C@H]1CCCN(c2nc(-c3c(O)cccc3F)nc3cc(C)ccc23)C1,CCN(CC)CC,ClCCl,0.88
train94,COC(=O)c1cccc2c1Oc1c(cccc1C(=O)OC)N2,FC(F)(F)c1ccnc(Cl)n1,COC(=O)c1cccc2c1Oc1c(C(=O)OC)cccc1N2c1nccc(C(F)(F)F)n1,O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,Cc1ccccc1,0.41
train95,OC[C@H]1CCCN1,CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(I)nc21,CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.64
train96,OC[C@H]1CCCN1,CC(C)n1cnc2c(NCc3ccc(Cl)cc3)nc(I)nc21,CC(C)n1cnc2c(NCc3ccc(Cl)cc3)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.57
train97,OC[C@H]1CCCN1,CC(C)n1cnc2c(Nc3ccc(Cl)c(Cl)c3)nc(I)nc21,CC(C)n1cnc2c(Nc3ccc(Cl)c(Cl)c3)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.65
train98,OC[C@H]1CCCN1,CC(C)n1cnc2c(NCc3ccc(Cl)c(Cl)c3)nc(I)nc21,CC(C)n1cnc2c(NCc3ccc(Cl)c(Cl)c3)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.64
train99,OC[C@H]1CCCN1,CC(C)n1cnc2c(Nc3ccc(Br)cc3)nc(I)nc21,CC(C)n1cnc2c(Nc3ccc(Br)cc3)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.31
train100,OC[C@H]1CCCN1,CC(C)n1cnc2c(Nc3cccc(Br)c3)nc(I)nc21,CC(C)n1cnc2c(Nc3cccc(Br)c3)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.49
train101,OC[C@H]1CCCN1,CC(C)n1cnc2c(NCc3ccc(C(F)(F)F)cc3)nc(I)nc21,CC(C)n1cnc2c(NCc3ccc(C(F)(F)F)cc3)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.83
train102,OC[C@H]1CCCN1,CC(C)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(I)nc21,CC(C)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.55
train103,OC[C@H]1CCCN1,CC(C)n1cnc2c(NCc3ccccc3C(F)(F)F)nc(I)nc21,CC(C)n1cnc2c(NCc3ccccc3C(F)(F)F)nc(N3CCC[C@@H]3CO)nc21,CCCN(CCC)CCC,CC(=O)N(C)C,0.62
